Name,ShortName,FullName,CCF_Rank
IJICS,IJICS,International Journal of Information and Computer Security,C
IJISP,IJISP,International Journal of Information Security and Privacy,C
JISA,JISA,Journal of Information Security and Applications,C
SCN,SCN,Security and Communication Networks,C
HCC,HCC,High-Confidence Computing,C
TOPLAS,TOPLAS,ACM Transactions on Programming Languages and Systems,A
TOSEM,TOSEM,ACM Transactions on Software Engineering and Methodology,A
TSE,TSE,IEEE Transactions on Software Engineering,A
TSC,TSC,IEEE Transactions on Services Computing,A
ASE,ASE,Automated Software Engineering,B
ESE,ESE,Empirical Software Engineering,B
IETS,IETS,IET Software,B
IST,IST,Information and Software Technology,B
JFP,JFP,Journal of Functional Programming,B
Journal of Software: Evolution and Process,,Journal of Software: Evolution and Process,B
JSS,JSS,Journal of Systems and Software,B
RE,RE,Requirements Engineering,B
SCP,SCP,Science of Computer Programming,B
SoSyM,SoSyM,Software and Systems Modeling,B
STVR,STVR,"Software Testing, Verification and Reliability",B
SPE,SPE,Software: Practice and Experience,B
CL,CL,"Computer Languages, Systems and Structures",C
IJSEKE,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,C
STTT,STTT,International Journal of Software Tools for Technology Transfer,C
JLAMP,JLAMP,Journal of Logical and Algebraic Methods in Programming,C
JWE,JWE,Journal of Web Engineering,C
SOCA,SOCA,Service Oriented Computing and Applications,C
SQJ,SQJ,Software Quality Journal,C
TPLP,TPLP,Theory and Practice of Logic Programming,C
PACM PL,PACM PL,Proceedings of the ACM on Programming Languages,C
TODS,TODS,ACM Transactions on Database Systems,A
TOIS,TOIS,ACM Transactions on Information Systems,A
TKDE,TKDE,IEEE Transactions on Knowledge and Data Engineering,A
VLDBJ,VLDBJ,The VLDB Journal,A
TKDD,TKDD,ACM Transactions on Knowledge Discovery from Data,B
TWEB,TWEB,ACM Transactions on the Web,B
AEI,AEI,Advanced Engineering Informatics,B
DKE,DKE,Data & Knowledge Engineering,B
DMKD,DMKD,Data Mining and Knowledge Discovery,B
EJIS,EJIS,European Journal of Information Systems,B
GeoInformatica,,GeoInformatica,B
IPM,IPM,Information Processing and Management,B
Information Sciences,,Information Sciences,B
IS,IS,Information Systems,B
JASIST,JASIST,Journal of the Association for Information Science and Technology,B
JWS,JWS,Journal of Web Semantics,B
KAIS,KAIS,Knowledge and Information Systems,B
DSE,DSE,Data Science and Engineering,B
DPD,DPD,Distributed and Parallel Databases,C
I&M,I&M,Information & Management,C
IPL,IPL,Information Processing Letters,C
Discover Computing,,Discover Computing,C
IJCIS,IJCIS,International Journal of Cooperative Information Systems,C
IJGIS,IJGIS,International Journal of Geographical Information Science,C
IJIS,IJIS,International Journal of Intelligent Systems,C
IJKM,IJKM,International Journal of Knowledge Management,C
IJSWIS,IJSWIS,International Journal on Semantic Web and Information Systems,C
JCIS,JCIS,Journal of Computer Information Systems,C
JDM,JDM,Journal of Database Management,C
JGITM,JGITM,Journal of Global Information Technology Management,C
JIIS,JIIS,Journal of Intelligent Information Systems,C
JSIS,JSIS,The Journal of Strategic Information Systems,C
TIST,TIST,ACM Transactions on Intelligent Systems and Technology,C
TORS,TORS,ACM Transactions on Recommender Systems,C
TIT,TIT,IEEE Transactions on Information Theory,A
IANDC,IANDC,Information and Computation,A
SICOMP,SICOMP,SIAM Journal on Computing,A
TALG,TALG,ACM Transactions on Algorithms,B
TOCL,TOCL,ACM Transactions on Computational Logic,B
TOMS,TOMS,ACM Transactions on Mathematical Software,B
Algorithmica,Algorithmica,Algorithmica,B
CC,CC,Computational complexity,B
FAC,FAC,Formal Aspects of Computing,B
FMSD,FMSD,Formal Methods in System Design,B
INFORMS,INFORMS,INFORMS Journal on Computing,B
JCSS,JCSS,Journal of Computer and System Sciences,B
JGO,JGO,Journal of Global Optimization,B
JSC,JSC,Journal of Symbolic Computation,B
MSCS,MSCS,Mathematical Structures in Computer Science,B
TCS,TCS,Theoretical Computer Science,B
ACTA,ACTA,Acta Informatica,C
APAL,APAL,Annals of Pure and Applied Logic,C
DAM,DAM,Discrete Applied Mathematics,C
FUIN,FUIN,Fundamenta Informaticae,C
IPL,IPL,Information Processing Letters,C
JCOMPLEXITY,JCOMPLEXITY,Journal of Complexity,C
LOGCOM,LOGCOM,Journal of Logic and Computation,C
JSL,JSL,The Journal of Symbolic Logic,C
LMCS,LMCS,Logical Methods in Computer Science,C
SIDMA,SIDMA,SIAM Journal on Discrete Mathematics,C
Theory of Computing Systems,,Theory of Computing Systems,C
TQC,TQC,ACM Transactions in Quantum Computing,C
TOG,TOG,ACM Transactions on Graphics,A
TIP,TIP,IEEE Transactions on Image Processing,A
TVCG,TVCG,IEEE Transactions on Visualization and Computer Graphics,A
TMM,TMM,IEEE Transactions on Multimedia,A
TOMM,TOMM,"ACM Transactions on Multimedia Computing,Communications and Applications",B
CAGD,CAGD,Computer Aided Geometric Design,B
CGF,CGF,Computer Graphics Forum,B
CAD,CAD,Computer-Aided Design,B
TCSVT,TCSVT,IEEE Transactions on Circuits and Systems for Video Technology,B
JASA,JASA,The Journal of the Acoustical Society of America,B
SIIMS,SIIMS,SIAM Journal on Imaging Sciences,B
SPECOM,SPECOM,Speech Communication,B
CVMJ,CVMJ,Computational Visual Media,B
CGTA,CGTA,Computational Geometry: Theory and Applications,C
CAVW,CAVW,computer animation & virtual worlds,C
C&G,C&G,Computers & Graphics,C
DCG,DCG,Discrete & Computational Geometry,C
SPL,SPL,IEEE Signal Processing Letters,C
IET-IPR,IET-IPR,IET Image Processing,C
JVCIR,JVCIR,Journal of Visual Communication and Image Representation,C
MS,MS,Multimedia Systems,C
MTA,MTA,Multimedia Tools and Applications,C
SIGPRO,SIGPRO,Signal Processing,C
IMAGE,IMAGE,Signal Processing: Image Communication,C
TVC,TVC,The Visual Computer,C
VI,VI,Visual Informatics,C
VRIH,VRIH,Virtual Reality & Intelligent Hardware,C
GMOD,GMOD,Graphical Models,C
AI,AI,Artificial Intelligence,A
TPAMI,TPAMI,IEEE Transactions on Pattern Analysis and Machine Intelligence,A
IJCV,IJCV,International Journal of Computer Vision,A
JMLR,JMLR,Journal of Machine Learning Research,A
TAP,TAP,ACM Transactions on Applied Perception,B
AAMAS,AAMAS,Autonomous Agents and Multi-Agent Systems,B
Computational Linguistics,,Computational Linguistics,B
CVIU,CVIU,Computer Vision and Image Understanding,B
DKE,DKE,Data & Knowledge Engineering,B
Evolutionary Computation,,Evolutionary Computation,B
TAC,TAC,IEEE Transactions on Affective Computing,B
TASLP,TASLP,"IEEE Transactions on Audio, Speech and Language Processing",B
IEEE Transactions on Cybernetics,,IEEE Transactions on Cybernetics,B
TEC,TEC,IEEE Transactions on Evolutionary Computation,B
TFS,TFS,IEEE Transactions on Fuzzy Systems,B
TNNLS,TNNLS,IEEE Transactions on Neural Networks and learning systems,B
IJAR,IJAR,International Journal of Approximate Reasoning,B
JAIR,JAIR,Journal of Artificial Intelligence Research,B
Journal of Automated Reasoning,,Journal of Automated Reasoning,B
JSLHR,JSLHR,"Journal of Speech, Language, and Hearing Research",B
Machine Learning,,Machine Learning,B
Neural Computation,,Neural Computation,B
Neural Networks,,Neural Networks,B
PR,PR,Pattern Recognition,B
TACL,TACL,Transactions of the Association for Computational Linguistics,B
TALLIP,TALLIP,ACM Transactions on Asian and Low-Resource Language Information Processing,C
Applied Intelligence,,Applied Intelligence,C
AIM,AIM,Artificial Intelligence in Medicine,C
Artificial Life,,Artificial Life,C
Computational Intelligence,,Computational Intelligence,C
Computer Speech & Language,,Computer Speech & Language,C
Connection Science,,Connection Science,C
DSS,DSS,Decision Support Systems,C
EAAI,EAAI,Engineering Applications of Artificial Intelligence,C
Expert Systems,,Expert Systems,C
ESWA,ESWA,Expert Systems with Applications,C
Fuzzy Sets and Systems,,Fuzzy Sets and Systems,C
TG,TG,IEEE Transactions on Games,C
IET-CVI,IET-CVI,IET Computer Vision,C
IET Signal Processing,,IET Signal Processing,C
IVC,IVC,Image and Vision Computing,C
IDA,IDA,Intelligent Data Analysis,C
IJCIA,IJCIA,International Journal of Computational Intelligence and Applications,C
IJIS,IJIS,International Journal of Intelligent Systems,C
IJNS,IJNS,International Journal of Neural Systems,C
IJPRAI,IJPRAI,International Journal of Pattern Recognition and Artificial Intelligence,C
IJUFKS,IJUFKS,"International Journal of Uncertainty,Fuzziness and Knowledge-Based Systems",C
IJDAR,IJDAR,International Journal on Document Analysis and Recognition,C
JETAI,JETAI,Journal of Experimental and Theoretical Artificial Intelligence,C
KBS,KBS,Knowledge-Based Systems,C
Machine Translation,,Machine Translation,C
Machine Vision and Applications,,Machine Vision and Applications,C
Natural Computing,,Natural Computing,C
NLE,NLE,Natural Language Engineering,C
NCA,NCA,Neural Computing and Applications,C
NPL,NPL,Neural Processing Letters,C
Neurocomputing,,Neurocomputing,C
PAA,PAA,Pattern Analysis and Applications,C
PRL,PRL,Pattern Recognition Letters,C
Soft Computing,,Soft Computing,C
WI,WI,Web Intelligence,C
TIIS,TIIS,ACM Transactions on Interactive Intelligent Systems,C
TELO,TELO,ACM Transactions on Evolutionary Learning and Optimization,C
JATS,JATS,ACM Journal on Autonomous Transportation Systems,C
TOCHI,TOCHI,ACM Transactions on Computer-Human Interaction,A
IJHCS,IJHCS,International Journal of Human-Computer Studies,A
CSCW,CSCW,Computer Supported Cooperative Work,B
HCI,HCI,Human-Computer Interaction,B
IEEE Transactions on Human-Machine Systems,,IEEE Transactions on Human-Machine Systems,B
IWC,IWC,Interacting with Computers,B
IJHCI,IJHCI,International Journal of Human-Computer Interaction,B
UMUAI,UMUAI,User Modeling and User-Adapted Interaction,B
TSMC,TSMC,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",B
CCF TPCI,CCF TPCI,CCF Transactions on Pervasive Computing and Interaction,B
BIT,BIT,Behaviour & Information Technology,C
PUC,PUC,Personal and Ubiquitous Computing,C
PMC,PMC,Pervasive and Mobile Computing,C
PACMHCI,PACMHCI,Proceedings of the ACM on Human-Computer Interaction,C
THRI,THRI,ACM Transactions on Human-Robot Interaction,C
JACM,JACM,Journal of the ACM,A
Proc. IEEE,Proc. IEEE,Proceedings of the IEEE,A
SCIS,SCIS,Science China Information Sciences,A
Bioinformatics,Bioinformatics,Bioinformatics,A
Briefings in Bioinformatics,,Briefings in Bioinformatics,B
Cognition,Cognition,Cognition,B
TASAE,TASAE,IEEE Transactions on Automation Science and Engineering,B
TGARS,TGARS,IEEE Transactions on Geoscience and Remote Sensing,B
TITS,TITS,IEEE Transactions on Intelligent Transportation Systems,B
TMI,TMI,IEEE Transactions on Medical Imaging,B
TR,TR,IEEE Transactions on Robotics,B
TCBB,TCBB,IEEE/ACM Transactions on Computational Biology and Bioinformatics,B
JCST,JCST,Journal of Computer Science and Technology,B
JAMIA,JAMIA,Journal of the American Medical Informatics Association,B
PLOS Computational Biology,,PLOS Computational Biology,B
The Computer Journal,,The Computer Journal,B
WWW,WWW,The Web Conference,B
FCS,FCS,Frontiers of Computer Science,B
BCRA,BCRA,Blockchain: Research and Applications,B
BMC Bioinformatics,,BMC Bioinformatics,C
Cybernetics and Systems,,Cybernetics and Systems,C
IEEE Geoscience and Remote Sensing Letters,,IEEE Geoscience and Remote Sensing Letters,C
JBHI,JBHI,IEEE Journal of Biomedical and Health Informatics,C
TBD,TBD,IEEE Transactions on Big Data,C
IET Intelligent Transport Systems,,IET Intelligent Transport Systems,C
JBI,JBI,Journal of Biomedical Informatics,C
Medical Image Analysis,,Medical Image Analysis,C
TII,TII,IEEE Transactions on Industrial Informatics,C
TCPS,TCPS,ACM Transactions on Cyber-Physical Systems,C
TOCE,TOCE,ACM Transactions on Computing Education,C
EITEE,EITEE,ENGINEERING Information Technology & Electronic Engineering,C
TCSS,TCSS,IEEE Transactions on Computational Social Systems,C
IEEE Transactions on Reliability,,IEEE Transactions on Reliability,C
HEALTH,HEALTH,ACM Transactions on Computing for Healthcare,C
ACM DLT,ACM DLT,ACM Distributed Ledger Technologies: Research and Practice,C
